"Share of enterprises who had any ICT related security incidents that led to consequences by type of consequences, study domain, observations and year"

"type of consequences";"study domain";"share of enterprises, percent 2021";"share of enterprises, percent 2023";"margin of error, ± 2021";"margin of error, ± 2023"
"unavailability of ICT services due to hardware/software failures";"total (SNI 10-63, 68-75, 77-82, 95.1)";17;16;2;2
"unavailability of ICT services due to hardware/software failures";"manufacturing (SNI 10-33)";17;18;2;3
"unavailability of ICT services due to hardware/software failures";"energy and recycling (SNI 35-39)";32;30;4;5
"unavailability of ICT services due to hardware/software failures";"construction (SNI 41-43)";12;11;5;5
"unavailability of ICT services due to hardware/software failures";"trade; motor vehicle and motorcycle garages (SNI 45-47)";23;24;4;5
"unavailability of ICT services due to hardware/software failures";"transport and storage enterprises (SNI 49-53)";14;7;5;4
"unavailability of ICT services due to hardware/software failures";"accommodation and food services (SNI 55-56)";8;12;5;5
"unavailability of ICT services due to hardware/software failures";"information and communication enterprises (SNI 58-63)";23;24;5;6
"unavailability of ICT services due to hardware/software failures";"real estate companies and managers (SNI 68)";27;20;7;6
"unavailability of ICT services due to hardware/software failures";"other service companies (SNI 69-74, 77-82, 95.1)";16;..;3;..
"unavailability of ICT services due to hardware/software failures";"other service companies (SNI 69-75, 77-82, 95.1)";..;13;..;3
"unavailability of ICT services due to hardware/software failures";"ICT sector (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)";24;23;5;6
"unavailability of ICT services due to external cyberattacks";"total (SNI 10-63, 68-75, 77-82, 95.1)";4;4;1;1
"unavailability of ICT services due to external cyberattacks";"manufacturing (SNI 10-33)";4;3;1;1
"unavailability of ICT services due to external cyberattacks";"energy and recycling (SNI 35-39)";5;3;2;2
"unavailability of ICT services due to external cyberattacks";"construction (SNI 41-43)";..;..;..;..
"unavailability of ICT services due to external cyberattacks";"trade; motor vehicle and motorcycle garages (SNI 45-47)";7;7;3;3
"unavailability of ICT services due to external cyberattacks";"transport and storage enterprises (SNI 49-53)";..;4;..;3
"unavailability of ICT services due to external cyberattacks";"accommodation and food services (SNI 55-56)";4;..;1;..
"unavailability of ICT services due to external cyberattacks";"information and communication enterprises (SNI 58-63)";4;6;2;4
"unavailability of ICT services due to external cyberattacks";"real estate companies and managers (SNI 68)";6;5;4;3
